frame_id,round_id,model_type,total_time_ms,forward_time_ms,postprocess_time_ms,data_to_gpu_time_ms,success,skip_reason
487,1,baseline,24.447,13.653,4.195,6.598,True,
488,1,baseline,23.943,13.135,4.021,6.787,True,
489,1,baseline,24.546,12.951,4.041,7.554,True,
490,1,baseline,22.366,12.378,3.812,6.176,True,
491,1,baseline,22.574,12.335,3.96,6.279,True,
492,1,baseline,21.856,11.83,3.696,6.33,True,
493,1,baseline,22.657,11.662,3.64,7.355,True,
494,1,baseline,24.124,13.57,4.113,6.441,True,
495,1,baseline,23.686,12.905,4.325,6.455,True,
496,1,baseline,22.615,12.462,3.673,6.48,True,
497,1,baseline,23.08,11.916,3.659,7.504,True,
498,1,baseline,22.277,12.783,3.737,5.757,True,
499,1,baseline,43.593,31.852,4.994,6.747,True,
500,1,baseline,22.729,12.052,3.769,6.908,True,
501,1,baseline,36.343,22.797,5.751,7.795,True,
502,1,baseline,22.641,12.759,3.82,6.063,True,
503,1,baseline,22.491,12.137,3.788,6.566,True,
504,1,baseline,21.661,11.847,3.848,5.967,True,
